smiles,activity_label
OC(=O)C=C,0
CC(CC1=CC=CC=C1)N(C)C,0
OC(=O)CCC(=O)N,1
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N,1
CC(=O)NC1=CC=C(C=C1)O,1
OC(=O)C(N)CCCCN,1
OC(=O)CC(O)C(=O)O,1
NC(=O)C1=CC=C(O)C=C1,1
CC(=O)NCC1=CC=CC=C1,0
OC(=O)C1=CC=CC=C1N,1
C1=CC=C(C=C1)CCC(=O)O,0
OC(=O)CCCCCC(=O)O,0
OC(=O)C(N)CC(=O)O,1
OC1=CC=C2C(=C1)OC(=O)C=C2,1
CC(O)CO,1
OC(=O)C1=CC=C(C=C1)CC2=CC=CC=C2,0
CC(=O)C1CCC2C1(CCC3C2CCC4(C3CC=C4C5=CC=CC=C5)C)C,0
CC(C)C(O)C(=O)O,1
OC(=O)C1CC(=O)N1,1
CC(=O)C(=O)OCC,0
CCOC(=O)CC(=O)OCC,0
OC(=O)C(N)CCC(N)=O,1
CC(=CC=O)C,0
CCCCCC,0
CC(C)NCC(O)C1=CC=C(O)C=C1,1
CC(=O)C=CC1=CC=CC=C1,0
OC(=O)C(N)CC1=CNC2=CC=CC=C12,1
OC(=O)C(N)CCSC,1
CC(=O)NC(CS)C(=O)O,1
OC(=O)C(N)CC1=CC=C(O)C=C1,1
OC(=O)CN(CC(=O)O)CC(=O)O,1
OC(=O)CNC(=O)C(N)CC1=CC=CC=C1,1
CC(C)(C)OC(=O)NC1=CC=CC=C1,0
OC(=O)C(N)C(CC)C,1
OC(=O)C(N)CC1=CN=CN1,1
CC(=O)OC1=CC=C(C=C1)NC(C)=O,0
CC(C)(C)C1=CC=C(C=C1)OCC(O)CNC(C)C,1
OC(=O)C(N)CO,1
OC(=O)C(N)CC(C)C,1
CCCCOC(=O)C1=CC=CC=C1N,0
OC(=O)C(N)C,1
OC(=O)C(N)CCCNC(=N)N,1
CCOC(=O)C1=CC=CC(=C1)N,0
CC(C)CC1=CC=C(C=C1)CC(C)C,0
OC(=O)C(N)CC(=O)O,1
OC(=O)C1=CC=C(C=C1)NC(=O)C,0
CCC1=CC=CC=C1,0
CCCCOC(=O)C,0
CC(=O)NC1=CC=CC(=C1)C(=O)O,1
OC(=O)C(N)CCCC(N)C(=O)O,1
OC(=O)C(N)CC1=CC=CC=C1,1
CC(CC(=O)O)CC(=O)O,0
OC(=O)C1=CC=CC=C1O,1
OC(=O)C(N)C(C)O,1
NC1=NC(=O)C=CN1C2CC(O)C(CO)O2,1
OC1=CC2=C(C=C1)C=CC(=O)O2,1
OC(=O)C(N)CC1=CC=C(O)C(=C1)O,1
CC(=O)NC1CCC(=O)N1,0
OC(=O)C(N)CCCCNC(=O)C(N)CC1=CC=CC=C1,1
OC(=O)C(N)C(O)C(=O)O,1
CC(C)CC1=CC=C(C=C1)C(C)CC,0
CC1=CC(=CC(=C1)C)O,0
C(CO)(CO)(CO)N,1
OC(=O)C1=CC=C(C=C1)N(CCCl)CCCl,0
CC(C)C1=CC=CC=C1O,0
OC(=O)C(N)CSSC(N)C(=O)O,1
